22/07/2016 15:15:28 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.MemberForAYear.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Padawan.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Padawan.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Padawan.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Padawan.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.Photogenic.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Name' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterMarkAsSolution.Desc' for language Portuguese (Brazil).
22/07/2016 15:15:29 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Badge.PosterVoteUp.Name' for language Portuguese (Brazil).
